CustomerID,State,Area Code,Address,Phone,Age,Genre,Education,Annual Income (k$),Expenses,Spending Score (1-100),Club Member
66,WA,415,5.0,352-8305,18,Male,Med,48,-,59,no
67,WY,415,4.0,329-9847,43,Female,SupCom,48,251.5,50,yes
68,MN,408,12.0,365-9011,68,Female,SupCom,48,125.2,48,yes
69,UT,408,6.0,338-9472,19,Male,Med,48,-,59,no
70,TX,510,6.0,374-8042,32,Female,Med,48,-,47,no
71,NJ,408,0.0,359-1231,70,Male,Med,49,-,55,no
72,MN,510,17.0,413-7170,47,Female,Bas,49,-,42,no
73,NM,510,6.0,415-2935,60,Female,Med,50,-,49,no
74,NV,415,8.0,399-4246,60,Female,SupCom,50,-,56,no
75,HI,415,4.0,362-5889,59,Male,SupInc,54,-,47,no
76,MN,415,13.0,350-8921,26,Male,SupInc,54,-,54,no
77,DC,415,3.0,374-5353,45,Female,Bas,54,-,53,no
78,NY,408,14.0,360-1171,40,Male,SupInc,54,-,48,no
79,MN,415,24.0,355-8887,23,Female,Bas,54,-,52,no
80,MD,408,0.0,333-1967,49,Female,SupInc,54,-,42,no
81,WV,415,7.0,354-4577,57,Male,Bas,54,-,51,no
82,OR,415,5.0,331-7425,38,Male,Med,54,215.4,55,yes
83,CO,408,7.0,419-2637,67,Male,Med,54,-,41,no
84,GA,415,7.0,411-1530,46,Female,SupInc,54,-,44,no
85,TX,510,16.0,395-3026,21,Female,SupInc,54,-,57,no
86,VT,510,1.0,388-6441,48,Male,SupCom,54,-,46,no
87,IN,408,8.0,402-1251,55,Female,SupInc,57,-,58,no
88,WV,510,4.0,412-9997,22,Female,Med,57,-,55,no
89,KY,415,0.0,346-7302,34,Female,Bas,58,-,60,no
90,NJ,415,4.0,358-9095,50,Female,Posg,58,-,46,no
91,DC,510,9.0,400-9770,68,Female,Med,59,-,55,no
92,LA,415,0.0,334-1275,18,Male,Med,59,-,41,no
93,AR,415,9.0,340-4953,48,Male,Bas,60,-,49,no
94,ME,415,5.0,400-9510,40,Female,SupCom,60,-,40,no
95,AZ,415,13.0,387-6103,32,Female,Med,60,-,42,no
96,AK,408,0.0,366-4467,24,Male,Med,60,-,52,no
97,MT,415,5.0,370-3450,47,Female,SupInc,60,-,47,no
98,AZ,415,2.0,327-3954,27,Female,Bas,60,-,50,no
99,MS,408,4.0,355-6291,48,Male,Med,61,-,42,no
100,ID,415,4.0,362-9748,20,Male,SupCom,61,-,49,no
101,IA,510,16.0,379-6506,23,Female,SupCom,62,-,41,no
102,MA,415,4.0,347-7741,49,Female,Med,62,-,48,no
103,VT,415,7.0,354-3783,67,Male,Bas,62,-,59,no
104,KY,408,26.0,401-7594,26,Male,Bas,62,-,55,no
105,IN,408,1.0,397-4976,49,Male,Med,62,-,56,no
106,AZ,408,22.0,334-2577,21,Female,SupCom,62,-,42,no
107,MI,510,4.0,400-3637,66,Female,SupCom,63,-,50,no
108,NM,510,14.0,383-4361,54,Male,SupInc,63,-,46,no
109,CO,415,1.0,371-4306,68,Male,Med,63,-,43,no
110,UT,408,6.0,403-4298,66,Male,SupInc,63,-,48,no
111,MI,408,2.0,409-3786,65,Male,Med,63,-,52,no
112,MA,415,6.0,337-4697,19,Female,Bas,63,-,54,no
113,AL,408,2.0,383-1509,38,Female,SupInc,64,-,42,no
114,DE,408,10.0,359-9794,19,Male,Med,64,-,46,no
115,AZ,415,6.0,407-7035,18,Female,Med,65,-,48,no
116,ME,510,15.0,363-1069,19,Female,Bas,65,196.8,50,yes
117,NJ,510,16.0,391-4652,63,Female,SupInc,65,-,43,no
118,NV,415,3.0,355-6837,49,Female,Bas,65,-,59,no
119,MO,510,4.0,409-1244,51,Female,SupInc,67,-,43,no
120,ID,408,3.0,328-3266,50,Female,Bas,67,-,57,no
121,NE,408,13.0,352-7072,27,Male,Bas,67,-,56,no
122,TX,408,5.0,370-7550,38,Female,SupCom,67,-,40,no
123,MD,510,0.0,369-5526,40,Female,Med,69,-,58,no
124,MS,415,1.0,329-4391,39,Male,SupInc,69,-,91,no
125,NV,510,6.0,408-4195,23,Female,SupCom,70,-,29,no
126,AZ,408,3.0,354-4445,31,Female,Bas,70,-,77,no
127,MS,415,2.0,335-4858,43,Male,SupCom,71,-,35,no
128,MS,510,3.0,414-8718,40,Male,SupInc,71,-,95,no
129,TX,408,5.0,409-5939,59,Male,Med,71,-,11,no
130,NE,408,9.0,331-4902,38,Male,SupCom,71,-,75,no
131,NE,415,0.0,353-6870,47,Male,Med,71,-,9,no
132,CA,408,2.0,355-2909,39,Male,SupInc,71,-,75,no
133,NJ,415,1.0,390-6101,25,Female,SupInc,72,-,34,no
134,TX,408,13.0,400-3446,31,Female,Med,72,-,71,no
135,AR,408,8.0,411-5859,20,Male,SupCom,73,-,5,no
136,AL,510,10.0,387-2919,29,Female,Bas,73,129.9,88,yes
137,NY,415,3.0,374-8525,44,Female,Bas,73,-,7,no
138,FL,510,4.0,379-5592,32,Male,SupCom,73,-,73,no
139,AK,510,0.0,345-8237,19,Male,Med,74,-,10,no
140,NV,415,6.0,422-6690,35,Female,SupCom,74,-,72,no
141,DE,510,8.0,346-2359,57,Female,Bas,75,-,5,no
142,MD,415,9.0,374-3534,32,Male,,75,-,93,no
143,MI,415,25.0,381-4756,28,Female,SupInc,76,-,40,no
144,VT,510,19.0,390-2805,32,Female,Posg,76,-,87,no
145,VT,408,8.0,390-2390,25,Male,Med,77,167.1,12,yes
146,MI,415,1.0,419-9097,28,Male,SupCom,77,-,97,no
147,WA,408,3.0,386-7281,48,Male,Posg,77,-,36,no
148,UT,408,1.0,380-3561,32,Female,Bas,77,271.5,74,yes
149,LA,408,9.0,390-8760,34,Female,Med,78,-,22,no
150,RI,408,5.0,366-6730,34,Male,SupInc,78,-,90,no
151,IA,408,10.0,395-5285,43,Male,Med,78,-,17,no
152,NE,415,11.0,354-3436,39,Male,Med,78,-,88,no
153,OH,408,5.0,336-7600,44,Female,Med,78,-,20,no
154,RI,415,4.0,383-6293,38,Female,Posg,78,-,76,no
155,OK,415,4.0,362-4596,47,Female,SupInc,78,-,16,no
156,LA,408,5.0,401-3926,27,Female,Med,78,-,89,no
157,OH,415,7.0,370-9116,37,Male,SupCom,78,-,1,no
158,VA,510,0.0,328-6289,30,Female,Med,78,-,78,no
159,MO,510,4.0,350-9994,34,Male,SupCom,78,-,1,no
160,FL,510,0.0,351-4616,30,Female,Med,78,-,73,no
161,SC,415,8.0,360-5779,56,Female,Med,79,-,35,no
162,VA,415,3.0,417-4885,29,Female,Med,79,-,83,no
163,IA,510,5.0,406-4710,19,Male,Bas,81,-,5,no
164,MI,415,4.0,409-8743,31,Female,SupInc,81,-,93,no
165,OK,415,2.0,335-4584,50,Male,Bas,85,-,26,no
166,DE,415,3.0,361-9845,36,Female,Med,85,-,75,no
167,GA,510,8.0,366-5699,42,Male,SupCom,86,-,20,no
168,DC,415,0.0,329-9364,33,Female,Bas,86,-,95,no
169,AZ,408,3.0,390-7434,36,Female,Med,87,-,27,no
170,AL,510,2.0,404-9680,32,Male,SupCom,87,-,63,no
171,CO,408,8.0,338-9398,40,Male,SupCom,87,-,13,no
172,NH,408,20.0,394-2445,28,Male,Bas,87,-,75,no
173,NM,415,3.0,381-2709,36,Male,SupInc,87,-,10,no
174,OR,415,8.0,397-5060,36,Male,Bas,87,-,92,no
175,LA,408,8.0,415-2393,52,Female,Bas,88,-,13,no
176,NE,415,4.0,377-1765,30,Female,Med,88,-,86,no
177,MN,415,9.0,409-2111,58,Male,SupInc,88,-,15,no
178,MI,415,2.0,401-3170,27,Male,SupInc,88,-,69,no
179,AR,408,4.0,405-5681,59,Male,Posg,93,-,14,no
180,KS,408,2.0,411-4582,35,Male,Bas,93,-,90,no
181,WV,510,10.0,355-5009,37,Female,Bas,97,197.1,32,yes
182,AK,415,2.0,372-3750,32,Female,Med,97,-,86,no
183,NY,408,0.0,405-2888,46,Male,Med,98,-,15,no
184,NH,408,8.0,361-3337,29,Female,Med,98,-,88,no
185,VA,510,16.0,350-1639,41,Female,SupInc,99,259.9,39,yes
186,NM,415,0.0,333-3221,30,Male,Bas,99,-,97,no
187,NY,408,0.0,422-1471,54,Female,Med,101,-,24,no
188,AZ,415,12.0,399-7865,28,Male,SupCom,101,-,68,no
189,WY,510,6.0,373-4819,41,Female,Med,103,-,17,no
190,WA,408,5.0,338-6981,36,Female,Med,103,-,85,no
191,CO,415,2.0,418-4365,34,Female,SupInc,103,-,23,no
192,TX,415,3.0,359-5461,32,Female,SupCom,103,-,69,no
193,KY,408,25.0,375-3586,33,Male,Med,113,-,8,no
194,MT,415,5.0,407-8376,38,Female,SupCom,113,-,91,no
195,OK,408,0.0,408-6496,47,Female,Med,120,-,16,no
196,MD,415,9.0,385-7688,35,Female,Med,120,-,79,no
197,TN,415,0.0,332-6934,45,Female,Med,126,-,28,no
198,TX,510,1.0,378-3625,32,Male,Bas,126,-,74,no
199,ME,510,1.0,353-7292,32,Male,Med,137,292.9,18,yes
200,DC,408,4.0,399-6786,30,Male,SupInc,137,-,83,no
